cbsa,metro_name,year,hpi,appreciation_rate,pop_growth_rate,unemployment_rate,poverty_rate,median_income,pct_bachelors_plus,vacancy_rate,homeownership_rate,mortgage_rate
19124,"Dallas-Plano-Irving, TX (MSAD)",2016,250.75,9.809502955988613,1.8365385766171194,4.480192673974493,12.70040595793044,63812.0,33.90195683115523,7.384883566511637,59.08454718388118,3.6550000000000002
19124,"Dallas-Plano-Irving, TX (MSAD)",2017,274.73,9.563310069790631,2.321157304587196,4.415391247725917,11.285017148451278,67382.0,34.625758548118164,7.886535250062096,59.66062234648724,3.9875
19124,"Dallas-Plano-Irving, TX (MSAD)",2018,285.17,3.800094638372209,1.8903100731722855,4.265656626064363,11.234421465342516,69445.0,35.52088238508738,8.038844179576525,59.14928209314609,4.5425
19124,"Dallas-Plano-Irving, TX (MSAD)",2019,296.5,3.9730686958656225,0.43452769101148814,4.06713220612284,10.459086469079642,72265.0,36.25442805146272,8.468820026545608,59.53578288109716,3.935
19124,"Dallas-Plano-Irving, TX (MSAD)",2021,391.88,21.313809862861042,1.2311874499546849,5.332319042954503,10.965384693586556,75975.0,38.33532994155621,6.071762977953008,59.81549526735597,2.9575
19124,"Dallas-Plano-Irving, TX (MSAD)",2022,428.33,9.301316729611099,2.372153773093122,3.780931109295288,10.284616142476183,82823.0,39.41369546704248,6.0729827530248,60.20926711125843,5.3425
19124,"Dallas-Plano-Irving, TX (MSAD)",2023,443.11,3.4506105105876372,1.968255287061349,3.9258518349215534,10.250706058005814,86860.0,39.95987836739472,6.711309537882292,59.79664693846863,6.805
19124,"Dallas-Plano-Irving, TX (MSAD)",2024,456.32,2.9812010561711455,3.0122701908645633,4.471472855144885,9.70333372537496,92733.0,41.00149284990604,6.878870253120542,60.018055963529605,6.7225
19740,"Denver-Aurora-Centennial, CO",2012,280.82,11.070679903492465,1.7155695967921103,7.467590701366615,12.727127771097752,61453.0,39.88089641298552,6.004715248517164,62.41875898597111,3.655
19740,"Denver-Aurora-Centennial, CO",2013,308.71,9.93162880136742,1.975911922271556,6.582529410219963,12.133580175625465,62760.0,40.30099847550508,5.72131985197343,63.48193790720861,3.975
19740,"Denver-Aurora-Centennial, CO",2014,341.21,10.527679699394255,2.1050048267343247,4.672429951128847,10.760382902958188,66870.0,40.771356502632486,5.361613133412021,62.32474148093981,4.1725
